Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,21.2873252858958,22.6003137409908,24.7198719746973,25.1921846722472,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,27.2080572390451,26.6730033435157,29.5522908546692,30.2136053733275,28.3829200126393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,47.450306399158,50.268318939351,52.0556850585588,52.7480289263233,53.1953356183897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,40.6151154462762,40.2108236358286,42.7242663980773,43.4457190264876,43.5084218458323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,67.1949349700848,68.7581646726416,68.7237240865963,59.9538818579193,60.5788840862048
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,57.061477766584,47.7138414909054,52.889422628417,55.9418631716143,52.1888599272409
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,41.3494837368548,42.4170514032136,42.3343189454166,41.5417472926055,40.2001946616386
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,28.703389442924,25.8544829769167,26.0908809797568,30.7932568020743,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,13.2316248118411,15.4217217014104,20.5283852817577,21.1110690658496,21.830984704611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,27.1409467284846,28.7780203174489,29.6622754715207,31.9656782036393,35.033330142378
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,174.452680954757,173.068169220566,168.778681335859,166.597497668983,163.997239164221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,32.5639254331113,30.1591759400189,33.5657513454235,37.1985133299637,34.0891908114192
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,22.6771945016724,21.5608580962682,21.9300831477167,22.9490914783308,24.9831341973865
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,45.1772418040017,48.5170935445558,50.4715286434326,50.4345612977047,51.0109231509171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,92.7396852303217,91.761004282631,102.849875694649,97.8178448525991,93.5458627871567
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,19.2108806711263,23.701988596199,26.1923724759545,17.4673004044489,18.2469355821227
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,178.384608499682,164.672004632055,171.564619507331,177.350436934209,175.594437290153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,97.4008024966563,92.4977895667551,78.2747304266292,67.4835061262959,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,91.6004742927044,93.4660454954659,95.0743273195023,95.8358511444373,91.9101004487215
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,77.1486782584484,77.5981668322775,83.1255055788893,84.7926764008035,83.6994379796493
